time,date,datetime,milliseconds,mean,median,upper,lower
2020.571038,7/26/20,2020-07-26T02:17:34,1.59573E+12,2.898264654,2.705459949,6.056834511,0.904841283
2020.566149,7/24/20,2020-07-24T07:27:55,1.59558E+12,2.898264654,2.705459949,6.056834511,0.904841283
2020.56126,7/22/20,2020-07-22T12:38:17,1.59542E+12,2.898275641,2.705459949,6.056834511,0.904841283
2020.556371,7/20/20,2020-07-20T17:48:38,1.59527E+12,2.898293838,2.705459949,6.056834511,0.904841283
2020.551482,7/18/20,2020-07-18T22:58:59,1.59511E+12,2.89818779,2.706057689,6.048215697,0.906345417
2020.546593,7/17/20,2020-07-17T04:09:20,1.59496E+12,2.896993844,2.706157432,6.027886769,0.906345417
2020.541704,7/15/20,2020-07-15T09:19:42,1.5948E+12,2.891944194,2.714183348,5.962605562,0.915337553
2020.536815,7/13/20,2020-07-13T14:30:03,1.59465E+12,2.893464798,2.722627664,5.921077004,0.93381479
2020.531926,7/11/20,2020-07-11T19:40:24,1.5945E+12,2.904791154,2.744444026,5.87180429,0.965630827
2020.527037,7/10/20,2020-07-10T00:50:45,1.59434E+12,2.93810999,2.782744925,5.867887381,1.023858908
2020.522148,7/8/20,2020-07-08T06:01:07,1.59419E+12,2.975183627,2.821246735,5.87871197,1.076416211
2020.517259,7/6/20,2020-07-06T11:11:28,1.59403E+12,3.015196233,2.861178454,5.900041235,1.131098457
2020.51237,7/4/20,2020-07-04T16:21:49,1.59388E+12,3.131322,2.948579279,6.09861571,1.278372151
2020.507481,7/2/20,2020-07-02T21:32:11,1.59373E+12,3.297918987,3.07358064,6.400052998,1.507597212
2020.502592,7/1/20,2020-07-01T02:42:32,1.59357E+12,3.424825642,3.164076227,6.748890409,1.659313288
2020.497703,6/29/20,2020-06-29T07:52:53,1.59342E+12,3.507362617,3.219874398,6.973994329,1.764345913
2020.492814,6/27/20,2020-06-27T13:03:14,1.59326E+12,3.555032254,3.252941004,7.067765565,1.815391612
2020.487925,6/25/20,2020-06-25T18:13:36,1.59311E+12,3.581712844,3.271220609,7.153060383,1.831901931
2020.483036,6/23/20,2020-06-23T23:23:57,1.59295E+12,3.599235697,3.279120955,7.205151437,1.830205988
2020.478147,6/22/20,2020-06-22T04:34:18,1.5928E+12,3.616924386,3.287881587,7.293380661,1.825405851
2020.473258,6/20/20,2020-06-20T09:44:39,1.59265E+12,3.62967429,3.295267706,7.385551105,1.803204597
2020.46837,6/18/20,2020-06-18T14:55:01,1.59249E+12,3.623636818,3.287380447,7.487484339,1.749429237
2020.463481,6/16/20,2020-06-16T20:05:22,1.59234E+12,3.605351293,3.273578419,7.515601127,1.660146043
2020.458592,6/15/20,2020-06-15T01:15:43,1.59218E+12,3.573742184,3.251176524,7.528502698,1.482735307
2020.453703,6/13/20,2020-06-13T06:26:05,1.59203E+12,3.499176013,3.200985913,7.447230403,1.195412436
2020.448814,6/11/20,2020-06-11T11:36:26,1.59188E+12,3.377839289,3.107975625,7.316469803,0.982412747
2020.443925,6/9/20,2020-06-09T16:46:47,1.59172E+12,3.193307136,2.966019316,7.173448095,0.834763968
2020.439036,6/7/20,2020-06-07T21:57:08,1.59157E+12,2.944335851,2.763733626,6.946975552,0.746359546
2020.434147,6/6/20,2020-06-06T03:07:30,1.59141E+12,2.662362745,2.472066282,6.530569596,0.673598188
2020.429258,6/4/20,2020-06-04T08:17:51,1.59126E+12,2.368301114,2.083183638,6.129823462,0.621557271
2020.424369,6/2/20,2020-06-02T13:28:12,1.5911E+12,2.079164399,1.554563664,5.760004681,0.583125845
2020.41948,5/31/20,2020-05-31T18:38:33,1.59095E+12,1.848350422,1.278634794,5.329107683,0.560936657
2020.414591,5/29/20,2020-05-29T23:48:55,1.5908E+12,1.63236905,1.14360049,4.666688391,0.540282476
2020.409702,5/28/20,2020-05-28T04:59:16,1.59064E+12,1.47953898,1.070768955,4.270899019,0.522246603
2020.404813,5/26/20,2020-05-26T10:09:37,1.59049E+12,1.361002427,1.024703995,3.898996916,0.512908985
2020.399924,5/24/20,2020-05-24T15:19:58,1.59033E+12,1.268514712,0.993477992,3.51627341,0.506412228
2020.395035,5/22/20,2020-05-22T20:30:20,1.59018E+12,1.209579743,0.974338541,3.264872636,0.503434721
2020.390146,5/21/20,2020-05-21T01:40:41,1.59003E+12,1.157741485,0.956328907,3.083005677,0.494691815
2020.385257,5/19/20,2020-05-19T06:51:02,1.58987E+12,1.115926716,0.941551659,2.936622914,0.488193259
2020.380368,5/17/20,2020-05-17T12:01:24,1.58972E+12,1.083293113,0.928800019,2.808367841,0.483622939
2020.375479,5/15/20,2020-05-15T17:11:45,1.58956E+12,1.054923994,0.917577175,2.680290688,0.474112578
2020.37059,5/13/20,2020-05-13T22:22:06,1.58941E+12,1.025702421,0.905107973,2.517348635,0.460688686
2020.365701,5/12/20,2020-05-12T03:32:27,1.58925E+12,1.002614102,0.895080919,2.423357034,0.449841911
2020.360812,5/10/20,2020-05-10T08:42:49,1.5891E+12,0.981783528,0.88686688,2.304741143,0.436795218
2020.355923,5/8/20,2020-05-08T13:53:10,1.58895E+12,0.964602509,0.878393078,2.216702001,0.425680515
2020.351034,5/6/20,2020-05-06T19:03:31,1.58879E+12,0.946305072,0.870899473,2.111576877,0.416565122
2020.346145,5/5/20,2020-05-05T00:13:52,1.58864E+12,0.93259838,0.864150633,2.048751864,0.403106405
2020.341256,5/3/20,2020-05-03T05:24:14,1.58848E+12,0.917851698,0.85519307,1.954646427,0.395432547
2020.336367,5/1/20,2020-05-01T10:34:35,1.58833E+12,0.907196613,0.849302269,1.883721657,0.385584616
2020.331478,4/29/20,2020-04-29T15:44:56,1.58818E+12,0.894333633,0.84265029,1.757340638,0.373670352
2020.326589,4/27/20,2020-04-27T20:55:18,1.58802E+12,0.885041824,0.838454352,1.697437131,0.362125451
2020.3217,4/26/20,2020-04-26T02:05:39,1.58787E+12,0.875752705,0.834780525,1.655396174,0.351656513
2020.316811,4/24/20,2020-04-24T07:16:00,1.58771E+12,0.867023059,0.831226811,1.593873186,0.340292216
2020.311922,4/22/20,2020-04-22T12:26:21,1.58756E+12,0.860859182,0.828043163,1.573468526,0.332251702
2020.307033,4/20/20,2020-04-20T17:36:43,1.5874E+12,0.855726029,0.825859553,1.552486899,0.323568339
2020.302144,4/18/20,2020-04-18T22:47:04,1.58725E+12,0.85179082,0.824555845,1.541754577,0.318786716
2020.297255,4/17/20,2020-04-17T03:57:25,1.5871E+12,0.848975004,0.823703093,1.533357291,0.310360288
2020.292366,4/15/20,2020-04-15T09:07:46,1.58694E+12,0.847901913,0.823660344,1.534065911,0.303658541
2020.287477,4/13/20,2020-04-13T14:18:08,1.58679E+12,0.848623879,0.824001881,1.538364388,0.30345529
2020.282588,4/11/20,2020-04-11T19:28:29,1.58663E+12,0.85031578,0.82529329,1.542606496,0.304114615
2020.277699,4/10/20,2020-04-10T00:38:50,1.58648E+12,0.854185639,0.827772292,1.549411683,0.308397065
2020.27281,4/8/20,2020-04-08T05:49:11,1.58632E+12,0.860001381,0.830950959,1.567673582,0.311648961
2020.267922,4/6/20,2020-04-06T10:59:33,1.58617E+12,0.867499302,0.834568283,1.591900507,0.322770856
2020.263033,4/4/20,2020-04-04T16:09:54,1.58602E+12,0.877627375,0.839356081,1.624325523,0.334143804
2020.258144,4/2/20,2020-04-02T21:20:15,1.58586E+12,0.888767855,0.846059998,1.673038135,0.343906484
2020.253255,4/1/20,2020-04-01T02:30:37,1.58571E+12,0.901540649,0.855254643,1.718345102,0.356388818
2020.248366,3/30/20,2020-03-30T07:40:58,1.58555E+12,0.916262935,0.86410137,1.780852131,0.37170545
2020.243477,3/28/20,2020-03-28T12:51:19,1.5854E+12,0.93402779,0.874276366,1.861277222,0.397545368
2020.238588,3/26/20,2020-03-26T18:01:40,1.58525E+12,0.952496245,0.886334033,1.948001715,0.416770024
2020.233699,3/24/20,2020-03-24T23:12:02,1.58509E+12,0.972291582,0.898145476,2.026386274,0.434367105
2020.22881,3/23/20,2020-03-23T04:22:23,1.58494E+12,0.988016279,0.908220062,2.088555638,0.45072268
2020.223921,3/21/20,2020-03-21T09:32:44,1.58478E+12,1.003000465,0.916912872,2.137614119,0.463405889
2020.219032,3/19/20,2020-03-19T14:43:05,1.58463E+12,1.014414335,0.923066368,2.196270039,0.470818432
