date,reported,genomic,,
3/1/20,29.2,37.54451357,77.77%,21.24%
3/2/20,30.0302301,39.45968258,76.10%,
3/3/20,30.88297049,41.65022767,74.15%,
3/4/20,31.76046799,43.89855675,72.35%,
3/5/20,32.66172439,46.16315685,70.75%,
3/6/20,33.58916577,48.76462342,68.88%,
3/7/20,34.54533267,51.36609,67.25%,
3/8/20,35.53776882,54.07607565,65.72%,
3/9/20,36.53440756,57.08613344,64.00%,
3/10/20,37.58478191,60.09619124,62.54%,
3/11/20,38.63789915,63.33557873,61.01%,
3/12/20,39.74961776,66.81837309,59.49%,
3/13/20,40.86243325,70.30116744,58.12%,
3/14/20,42.03909434,74.16934725,56.68%,
3/15/20,43.21575543,78.19907571,55.26%,
3/16/20,44.46040465,82.22880416,54.07%,
3/17/20,45.7058054,86.84329808,52.63%,
3/18/20,47.05511835,91.50578936,51.42%,
3/19/20,48.40862089,96.27344905,50.28%,
3/20/20,49.76212344,101.6679843,48.95%,
3/21/20,51.12637143,107.0625196,47.75%,
3/22/20,52.63570353,112.7646252,46.68%,
3/23/20,54.14503564,119.0060377,45.50%,
3/24/20,55.65436774,125.2474501,44.44%,
3/25/20,57.19439833,132.002768,43.33%,
3/26/20,58.87749334,139.1261194,42.32%,
3/27/20,60.56058836,146.5294647,41.33%,
3/28/20,62.24368337,154.5539545,40.27%,
3/29/20,63.98188215,162.6177484,39.34%,
3/30/20,65.85874443,171.6572408,38.37%,
3/31/20,67.73560671,180.6967333,37.49%,
4/1/20,69.61246899,190.6127594,36.52%,
4/2/20,71.57405249,200.7954548,35.65%,
4/3/20,73.66698876,211.615154,34.81%,
4/4/20,75.75992503,223.0853845,33.96%,
4/5/20,77.8528613,234.8786203,33.15%,
4/6/20,80.06622293,247.7988754,32.31%,
4/7/20,82.40010343,260.7191304,31.60%,
4/8/20,84.73398394,275.1919393,30.79%,
4/9/20,87.06786444,289.7451372,30.05%,
4/10/20,89.57120246,305.5465021,29.32%,
4/11/20,92.18401698,321.9385328,28.63%,
4/12/20,94.7968315,339.17285,27.95%,
4/13/20,97.40964602,357.6354286,27.24%,
4/14/20,100.1644006,376.3839037,26.61%,
4/15/20,103.1005922,396.9672841,25.97%,
4/16/20,106.0367837,418.0742503,25.36%,
4/17/20,108.9729753,440.7972754,24.72%,
4/18/20,112.0074087,464.3576225,24.12%,
4/19/20,115.3069978,489.4419088,23.56%,
4/20/20,118.6065868,515.7365391,23.00%,
4/21/20,121.9061758,543.426467,22.43%,
4/22/20,125.2473181,572.7678732,21.87%,
4/23/20,128.9552732,603.3328873,21.37%,
4/24/20,132.6632282,636.0686235,20.86%,
4/25/20,136.3711833,669.8057657,20.36%,
4/26/20,140.0791383,706.3222847,19.83%,
4/27/20,144.21531,743.5589669,19.40%,
4/28/20,148.3821502,784.2858447,18.92%,
4/29/20,152.5489904,825.4425504,18.48%,
4/30/20,156.7158307,870.7974703,18.00%,
5/1/20,161.2769216,916.7342667,17.59%,
5/2/20,165.9594058,966.7849525,17.17%,
5/3/20,170.64189,1018.046331,16.76%,
5/4/20,175.3243742,1073.274982,16.34%,
5/5/20,180.3521867,1130.465852,15.95%,
5/6/20,185.614089,1191.403317,15.58%,
5/7/20,190.8759913,1254.940065,15.21%,
5/8/20,196.1378936,1321.607639,14.84%,
5/9/20,201.6830353,1393.278685,14.48%,
5/10/20,207.6076351,1467.529111,14.15%,
5/11/20,213.5322349,1546.014988,13.81%,
5/12/20,219.4568347,1629.429964,13.47%,
5/13/20,225.4733856,1715.795513,13.14%,
5/14/20,232.1566902,1808.165887,12.84%,
5/15/20,238.8399948,1905.208576,12.54%,
5/16/20,245.5232994,2005.622475,12.24%,
5/17/20,252.206604,2114.293504,11.93%,
5/18/20,259.5873635,2227.137684,11.66%,
5/19/20,267.1264556,2344.989313,11.39%,
5/20/20,274.6655476,2471.621645,11.11%,
5/21/20,282.2046397,2602.771904,10.84%,
5/22/20,290.2348402,2741.326715,10.59%,
5/23/20,298.7392042,2888.508634,10.34%,
5/24/20,307.2435682,3040.845633,10.10%,
5/25/20,315.7479322,3203.65019,9.86%,
5/26/20,324.4728401,3374.607212,9.62%,
5/27/20,334.0659421,3551.437505,9.41%,
5/28/20,343.6590442,3742.610971,9.18%,
5/29/20,353.2521462,3941.040405,8.96%,
5/30/20,362.8452482,4148.143353,8.75%,
5/31/20,373.5390471,4370.463629,8.55%,
