strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pango_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	sampling_strategy	missing_data	divergence	nonACGTN	rare_mutations	snp_clusters	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_snp_clusters	clock_deviation	batch1	batch2	batch3	batch4	batch5	batch6	batch7	batch8	batch9	batch10	root_ref
bat/Yunnan/RmYN07/2020	betacoronavirus	EPI_ISL_1699447	?	2020-06-03	Asia	China	Yunnan	Xishuangbanna	Asia	China	Yunnan	genome	29734	Rhinolophus malayanus	unknown	unknown	?	Unassigned	O	Shandong First Medical University & Shandong Academy of Medical Sciences	Shandong First Medical University & Shandong Academy of Medical Sciences	Weifeng Shi, Edward C. Holmes, Alice C. Hughes, Hong Zhou, Jingkai Ji, Xing Chen, Yuhai Bi, Juan Li, Tao Hu, Yanhua Chen	https://www.gisaid.org/	?	?	2021-04-23	?												no	no	no	no	no	no	no	yes	no	no	no
Mongolia/UB-9354/2020	betacoronavirus	EPI_ISL_9879616	?	2020-05-05	Asia	Mongolia			Asia	Mongolia		genome	29873	Human	45	Famale	?	B.1.1	GR	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal, Bayasgalan Namuutsetseg, Khishigmunkh Chimedregzen, Seiichiro Fujisaki, Mina Nakauchi, Hideka Miura, Shinji Watanabe, Tsogzolmaa Ganbold, Bumdelger Bayanmunkh, Darmaa Badarch, Nymadawa Pagvajav, Bilegtsaikhan Tsolmon	https://www.gisaid.org/	?	?	2022-02-14	?												no	no	no	no	no	no	no	no	yes	no	no
Israel/CVL-n896/2020	betacoronavirus	EPI_ISL_649094	?	2020-02-27	Asia	Israel	Rishon-Letsion		Asia	Israel	Rishon-Letsion	genome	29817	Human	unknown	unknown	?	B.1.1	GR	Israel Central Virology laboratory	Israel Central Virology laboratory	Neta Zuckerman, Efrat Dahan Bucris, Oran Erster, Ella Mendelson, Michal Mandelboim	https://www.gisaid.org/	?	?	2020-11-22	?												no	no	yes	yes	no	no	no	no	no	no	no
Togo/BMC-50-20/2020	betacoronavirus	EPI_ISL_1439647	?	2020-03-18	Africa	Togo	Lome	Golfe	Africa	Togo	Lome	genome	29833	Human	50	Male	?	B.1	GH	Institut National d'Hygiène	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU, Christelle BUTEL, Wembo A. HALATOKO,Issaka Maman, Abla A. KONOU, Amivi EHLAN, Adodo SADJI, Kokou TEGUENI,Sidonie A.M.KAGNISSODE, Akoélé SILIADIN, Alassane OURO-MEDELI, Messanh DOUFFAN,Déléma MABA,Sika DOSSIM, Améyo DORKENOO, Mireille PRINCE-DAVID,Anoumou DAGNRA,Laetitia SERRANO,Ahidjo AYOUBA,Eric DELAPORTE, Martine PEETERS	https://www.gisaid.org/	?	?	2021-04-01	?												no	yes	no	no	no	no	no	no	no	no	no
Morocco/6889/2020	betacoronavirus	EPI_ISL_459967	?	2020-03-15	Africa	Morocco			Africa	Morocco		genome	29795	Human	unknown	unknown	?	B.1	G	Institut Pasteur du Maroc	Institut Pasteur du Maroc	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Latifa Anga, Abdellah Faouzi, Anass Abbad, Mjid Eloualid, Jalal Nourlil, Anderrahmane Maaroufi	https://www.gisaid.org/	?	?	2020-06-05	?												no	yes	no	no	no	no	no	no	no	no	no
Qatar/QA-QU_07-1-A5/2020	betacoronavirus	EPI_ISL_1712902	?	2020-06-08	Asia	Qatar	Doha		Asia	Qatar	Doha	genome	29869	Human	25	Male	?	B	O	Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane, Heba A. Al-Khatib, Oal Al-Jamal, Dana Al-Batesh, Hadi M. Yassine, Asmaa A. Al-Thani.  MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout.  QBB: Tasneem Al-Hamad, Dina Elgakhlab   QGP: Fatima H. Al-Kuwari, Chadi Saad	https://www.gisaid.org/	?	?	2021-04-25	?												no	no	no	no	no	no	no	yes	no	no	no
Bahrain/023287015_S14_L001/2020	betacoronavirus	EPI_ISL_632284	?	2020-07-25	Asia	Bahrain			Asia	Bahrain		genome	29777	Human	unknown	unknown	?	B.1.281	GH	Communicable Disease Laboratory,  Public Health Directorate	Communicable Disease Laboratory,  Public Health Directorate	AlWasti, H., AlTaif, Z., AlHujairi, Z., AlAbbas, Z.	https://www.gisaid.org/	?	?	2020-11-08	?												no	no	no	no	no	no	no	no	no	yes	no
DRC/D09-0684/2020	betacoronavirus	EPI_ISL_636985	?	2020-05-14	Africa	Democratic Republic of the Congo	Kinshasa		Africa	Democratic Republic of the Congo	Kinshasa	genome	29782	Human	19	Female	?	B.1.9	GH	Virology Lab, National Institute for Biomedical Research (INRB)	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Jean-Jacques Muyembe Tamfum, Steve Ahuka-Mundeke, Eddy Kinganda-Lusamaki, Gabriel Mbunsu, Sheila Makiala, Essia Belarbi, Jasmin Schlotterbeck, Grit Schubert, Fabian Leendertz	https://www.gisaid.org/	?	?	2020-11-15	?												no	yes	no	no	no	no	no	no	no	no	no
Senegal/2376/2020	betacoronavirus	EPI_ISL_8525497	?	2020-04-03	Africa	Senegal	Dakar		Africa	Senegal	Dakar	genome	29646	Human	31	Female	?	B.1.212	G	Institut Pasteur de Dakar	Institut Pasteur de Dakar	Diallo Amadou, Diagne Moussa Moise,  Dia Ndongo, Sankhe Safietou, Ndiaye Ndack, Loucoubar Cheikh, Faye Ousmane, Sall Amadou Alpha	https://www.gisaid.org/	?	?	2022-01-10	?												no	yes	no	no	no	no	no	no	no	no	no
Kenya/C3194/2020	betacoronavirus	EPI_ISL_457901	?	2020-04-28	Africa	Kenya			Africa	Kenya		genome	29494	Human	unknown	Male	?	B.1.535	G	KEMRI-CGMR-C	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji G. et al 2020	https://www.gisaid.org/	?	?	2020-06-02	?												no	yes	no	no	no	no	no	no	no	no	no
